event_id,session_id,event_ts,event_type,user_id,ip,user_agent,property_id,view_duration_sec,enquiry_flag,favorite_flag
01deae47-2fd9-4805-9e49-fbeea0cd9c38,sess-intent-005,2026-03-11T11:31:00,property_view,visitor-0447,203.0.113.11,Mozilla/Windows,PROP-0099,214,false,false
e773fc20-de44-475c-9fd5-dbccac97c783,sess-intent-010,2026-01-17T08:58:00,property_view,visitor-0578,203.0.113.12,Mozilla/Windows,PROP-0099,57,false,false
59b6453e-eb50-4a33-b6b6-bf9eeadb55d8,sess-intent-008,2026-02-03T21:20:00,property_view,visitor-0335,192.0.2.20,Mozilla/iPhone,PROP-0035,209,false,false
5f008edb-5163-4f3c-8817-bf17f040c1cc,sess-intent-001,2026-03-02T08:47:00,property_view,visitor-0359,203.0.113.13,Mozilla/iPhone,PROP-0107,50,false,false
00776937-46c4-42d3-b652-a2def9d720e6,sess-intent-004,2026-01-26T08:39:00,property_view,visitor-0130,203.0.113.10,Mozilla/Windows,PROP-0011,73,false,false
db7eb581-6a3f-4103-b651-8fbca2688a4b,sess-intent-012,2026-02-17T10:38:00,property_view,visitor-0736,192.0.2.20,Mozilla/iPhone,PROP-0051,98,false,false
3898fd02-f67b-4b59-9e4e-5b0a50cb18c4,sess-intent-004,2026-02-09T21:25:00,property_view,visitor-0078,192.0.2.24,Mozilla/Windows,PROP-0027,336,false,false
3dc38f2a-d72c-436e-8b48-660ea5a6c48f,sess-intent-007,2026-01-16T08:22:00,property_view,visitor-0678,192.0.2.27,Mozilla/iPhone,PROP-0075,274,false,false
d08ef5aa-d172-4d6f-aa8c-0fdbaedcf37b,sess-intent-015,2026-01-14T21:23:00,property_view,visitor-0471,203.0.113.11,Mozilla/Windows,PROP-0003,237,false,false
4eb6dec1-e3c9-40e7-9b6c-95d6b84cea5f,sess-intent-014,2026-03-10T22:29:00,property_view,visitor-0749,192.0.2.26,Mozilla/Windows,PROP-0131,180,false,false
273a1bac-9b92-4fbf-b416-d7135eddf18e,sess-intent-011,2026-02-01T22:36:00,property_view,visitor-0389,203.0.113.13,Mozilla/iPhone,PROP-0019,268,false,false
5812ed9c-849a-427b-8fcf-b5e4340b76ae,sess-intent-012,2026-02-03T20:17:00,property_view,visitor-0283,192.0.2.21,Mozilla/Windows,PROP-0043,279,false,false
061dccf5-1640-41c1-8607-d45aab63ee63,sess-intent-011,2026-03-04T11:44:00,property_view,visitor-0729,203.0.113.12,Mozilla/Windows,PROP-0019,420,false,true
c4abd762-82e3-428c-9235-3d64942c3670,sess-intent-006,2026-02-01T19:42:00,property_view,visitor-0485,203.0.113.12,Mozilla/Windows,PROP-0075,191,false,false
f4a44f48-5c96-43e7-b38c-c2a67236aff3,sess-intent-004,2026-02-28T19:19:00,property_view,visitor-0124,203.0.113.11,Mozilla/Windows,PROP-0139,176,false,false
fba8cc6f-aabf-4892-bb6e-99021e2e1566,sess-intent-013,2026-03-03T19:46:00,property_view,visitor-0538,203.0.113.12,Mozilla/Windows,PROP-0139,66,false,false
4ef7d77d-d821-49a7-9500-be320fd5d71c,sess-intent-003,2026-02-08T08:45:00,property_view,visitor-0281,203.0.113.12,Mozilla/iPhone,PROP-0075,42,false,false
0e30d161-e204-4cf4-ac60-c97d4d1a5975,sess-intent-010,2026-03-04T09:55:00,property_view,visitor-0292,192.0.2.26,Mozilla/Windows,PROP-0035,240,false,false
6d2ae51e-0458-448f-a212-18f63820280d,sess-intent-007,2026-03-03T09:52:00,property_view,visitor-0504,203.0.113.13,Mozilla/iPhone,PROP-0011,337,false,false
